bpsName,bpsNumber,groupVeg,acresTotal,acresLeft,percentLeft,disturbance,percentDisturbed,acresDisturbed,acresDisturbedLeft
Boreal Acidic Peatland Systems,4014770,Riparian,573792,400642,69.82355976,NonReplacementFire,0.80954,4645,3243.304351
Boreal Acidic Peatland Systems,4014770,Riparian,573792,400642,69.82355976,ReplacementFire,0.14006,804,561.3814204
Boreal Acidic Peatland Systems,4014770,Riparian,573792,400642,69.82355976,SurfaceFire,0.80954,4645,3243.304351
Boreal Acidic Peatland Systems,4014770,Riparian,573792,400642,69.82355976,Wind/Weather/Stress,0.28494,1635,1141.615202
Boreal Acidic Peatland Systems,4014770,Riparian,573792,400642,69.82355976,Insect/Disease,0.16016,919,641.6785142
Boreal Acidic Peatland Systems,4014770,Riparian,573792,400642,69.82355976,NonFireDisturbances,1.34056,7692,5370.828216
Boreal Acidic Peatland Systems,4114770,Riparian,4457387,4307235,96.63138965,NonReplacementFire,0.81978,36541,35310.07609
Boreal Acidic Peatland Systems,4114770,Riparian,4457387,4307235,96.63138965,NonFireDisturbances,1.3444,59925,57906.36025
Boreal Acidic Peatland Systems,4114770,Riparian,4457387,4307235,96.63138965,ReplacementFire,0.13994,6238,6027.866086
Boreal Acidic Peatland Systems,4114770,Riparian,4457387,4307235,96.63138965,Insect/Disease,0.16114,7183,6941.032718
Boreal Acidic Peatland Systems,4114770,Riparian,4457387,4307235,96.63138965,SurfaceFire,0.81978,36541,35310.07609
Boreal Acidic Peatland Systems,4114770,Riparian,4457387,4307235,96.63138965,Wind/Weather/Stress,0.27958,12462,12042.20378
Boreal Acidic Peatland Systems,5014770,Riparian,1971386,1593765,80.84489796,NonFireDisturbances,1.32512,26123,21119.11269
Boreal Acidic Peatland Systems,5014770,Riparian,1971386,1593765,80.84489796,Insect/Disease,0.16358,3225,2607.247959
Boreal Acidic Peatland Systems,5014770,Riparian,1971386,1593765,80.84489796,Wind/Weather/Stress,0.276,5441,4398.770898
Boreal Acidic Peatland Systems,5014770,Riparian,1971386,1593765,80.84489796,SurfaceFire,0.81568,16080,12999.85959
Boreal Acidic Peatland Systems,5014770,Riparian,1971386,1593765,80.84489796,NonReplacementFire,0.81568,16080,12999.85959
Boreal Acidic Peatland Systems,5014770,Riparian,1971386,1593765,80.84489796,ReplacementFire,0.1398,2756,2228.085388
